the_geom,OBJECTID,Loc,Borough,Street_Nam,From_Stree,To_Street,Iex,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_AM,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD,Oct20_AM,Oct20_PM,Oct20_MD,May21_AM,May21_PM,May21_MD,Oct21_AM,Oct21_PM,Oct21_MD,May22_AM,May22_pM,May22_MD,Oct22_AM,Oct22_PM,Oct22_MD,May23_AM,May23_pM,May23_MD,Oct23_AM,Oct23_PM,Oct23_MD,June24_AM,June24_PM,June24_MD,Oct24_AM,Oct24_PM,Oct24_MD,May25_AM,May25_PM,May25_MD
POINT (-74.01155687409947 40.70463665187375),35,35,Manhattan,Broad Street,Beaver Street,South William Street,Y,"3,469","3,992",599,"4,214","12,879","8,077","4,231","7,042","1,157","3,906","7,307","1,171","4,745","5,954","1,112","2,421","6,724","1,030","3,696","5,944",737,"4,013","6,014",922,"3,879","6,839",853,"4,254","5,989","1,681","4,495","4,437","1,175","4,302","6,257","1,341","2,865","4,874","1,273","3,758","5,843","1,466","3,666","5,845","1,149","3,383","5,154",954,"4,177","6,445",993,"4,622","7,161","1,411","4,632","7,093","1,580","4,041","5,893","1,880","3,522","6,747","1,715","4,924","8,303","2,036","4,374","6,603","1,756","4,131","6,471","2,010","4,100","7,302","1,669",707,"1,248",570,"1,158","2,577","1,168","1,736","2,711","1,279","2,143","4,002","1,470","2,134","3,643","1,531","2,359","4,491","1,531","2,107","4,095","1,542","2,280","4,554","1,350","2,547","4,775",1880,"2,650","4,670","1,423"
POINT (-74.01286204592034 40.70634164448271),36,36,Manhattan,Broadway,Morris Street,Exchange Place,Y,"3,660","8,390","2,361","4,507","15,554","12,748","3,110","7,880","4,098","4,483","11,912","3,528","3,085","7,169","5,281","5,206","12,034","6,513","4,896","11,032","3,907","4,644","10,890","6,569","4,357","9,628","4,097","3,838","10,699","6,962","5,462","9,308","5,350","5,021","12,183","6,297","4,964","12,371","6,990","5,121","11,809","7,564","5,744","12,666","7,947","5,732","16,251","4,691","5,416","14,507","8,321","3,935","13,111","7,254","5,079","11,126","7,116","3,791","10,156","7,720","6,274","14,040","9,265","7,798","12,650","8,126","5,221","19,725","6,818","4,437","10,726","9,615","5,049","11,765","7,029",398,"1,903","1,337","1,647","5,041","3,395","1,901","4,671","3,884","2,804","7,018","5,383","2,432","4,977","4,877","3,241","8,955","5,214","2,938","7,604","6,482","3,041","9,071","5,078","3,368","8,641",6432,"3,212","10,126","6,149"
POINT (-73.98219706247882 40.7718134030119),37,37,Manhattan,Broadway,West 63rd Street,West 64th Street,Y,"1,611","6,764","4,592","1,805","5,674","4,111","1,293","6,024","5,804","2,616","8,454","5,178","1,620","2,654","5,207","2,718","6,600","4,236","1,988","8,750","5,390","2,447","9,057","6,147","1,999","8,878","5,799","1,687","7,388","4,793","2,086","4,690","8,376","1,881","8,696","6,809","1,986","9,375","6,034","2,577","9,566","7,064","1,775","7,707","5,919","2,686","7,916","4,462","1,870","8,996","7,676","3,950","11,244","7,146","2,789","8,673","5,003","2,338","8,574","5,944","1,962","6,832","5,446","2,091","9,305","4,663","2,059","6,194","6,037","2,122","7,773","5,259","1,696","6,864","4,907",280,694,"3,555","1,233","4,932","3,445","1,899","5,745","4,966","1,977","6,730","4,752","2,096","7,096","5,391","1,608","5,271","4,154","1,693","5,210","3,909",880,"4,493","2,278","1,915","5,566",4249,"1,641","5,129","3,409"
POINT (-74.01009312926121 40.715904559004244),38,38,Manhattan,Chambers Street,West Broadway,Greenwich Street,Y,"7,081","8,512","2,061","7,192","8,513","5,204","6,556","10,440","2,145","5,333","5,097","2,675","7,466","10,866","1,696","8,091","8,273","1,612","6,318","9,575","6,305","8,909","11,065","2,983","6,905","11,192","2,677","14,456","11,407","4,674","5,765","4,266","2,939","8,185","10,981","4,144","7,735","9,680","4,100","8,232","9,661","3,627","8,140","10,248","1,580","8,806","10,478","1,538","8,324","9,689","2,422","8,183","9,256","1,696","6,923","9,546","2,994","7,639","8,514","5,458","6,923","9,546","2,994","8,401","9,937","3,302","8,323","8,960","3,630","8,834","10,456","3,493","3,075","6,598","2,934",832,"1,302","1,099","1,316","2,643","1,215","4,604","4,163","1,984","4,615","4,799","1,538","5,268","5,645","2,366","2,299","3,760","1,259","5,265","6,100","1,913","3,174","4,409","1,725","3,239","4,939",2236,"5,107","5,989","2,478"
POINT (-73.97713579908014 40.77968082763136),39,39,Manhattan,Columbus Avenue,West 75th Street,West 76th Street,N,"1,071","3,037","3,500","1,189","2,748","2,523",895,"2,385","3,910","1,172","3,306","3,171","1,041","1,761","3,084","2,248","4,408","2,629","1,507","3,464","3,633","1,632","3,907","3,407","1,520","4,024","4,157","1,497","3,598","2,442","1,603","2,283","3,703","1,601","3,898","4,216","1,676","4,358","4,968","1,646","3,998","4,070","1,451","4,420","4,246","1,633","3,272","3,271","1,218","4,604","6,597","2,387","8,626","3,766","1,892","4,594","4,162","1,852","3,277","4,522","1,558","3,627","2,690","1,592","3,626","2,977","1,524","3,905","3,780","1,756","3,794","2,451",0,0,0,706,"1,319","2,407",867,"3,049","1,873","1,380","3,121","2,846","1,300","3,205","2,756","1,412","3,425","3,114","1,394","3,836","2,868","1,292","3,500","3,817",967,"4,031","2,790","1,498","3,732",3982,"1,389","4,250","3,955"
POINT (-73.98936305063111 40.718989359353586),40,40,Manhattan,Delancey Street,Orchard Street,Ludlow Street,Y,"1,085","2,733","2,529","1,433","4,104","2,701","1,015","2,947","2,718",958,"2,218","1,635",869,"1,680","1,378","1,664","4,708","2,233",940,"2,702","2,093","1,396","2,912","1,861","1,036","2,741","2,119",969,"2,606","1,592","1,451","2,495","2,514","1,616","4,262","3,385","1,472","4,415","3,776","1,594","4,278","2,951","1,558","4,792","2,809","1,636","4,480","2,626","1,357","4,543","3,367","1,557","4,809","1,973","1,746","5,086","3,197","1,847","4,847","3,032","1,647","4,534","3,295","1,634","3,238","2,420","1,851","4,772","3,249","1,629","4,010","3,034","1,704","4,692","3,351",318,832,"1,499",775,"2,652","2,390","1,269","3,643","2,764","1,151","3,285","2,617","1,220","3,975","3,264","1,077","4,128","2,868","1,063","3,982","2,939","1,055","3,672","2,657","1,180","4,381",3459,"1,158","4,554","3,278"
POINT (-73.99265748471083 40.73559926423828),41,41,Manhattan,East 14th Street,Fifth Avenue,University Place,Y,"2,265","13,723","4,761","2,084","13,965","5,004","3,000","11,119","10,041","2,682","14,451","7,391","2,946","17,128","7,151","3,135","15,654","7,300","2,480","13,830","6,559","2,952","14,895","6,008","2,726","18,830","9,130","2,803","16,102","7,005","2,607","8,641","8,997","2,730","13,560","8,102","3,034","17,519","8,918","2,930","14,597","7,377","3,029","12,888","8,876","3,248","14,486","6,765","3,462","13,830","9,616","3,868","15,862","6,103","3,017","14,947","7,465","3,979","16,487","6,253","3,303","18,021","10,204","4,251","19,584","5,078","2,601","14,123","6,924","2,973","11,932","6,408","1,704","4,692","7,036","1,045","4,787","4,543","1,443","7,443","3,474","2,181","8,440","5,148","2,241","8,784","4,765","2,435","10,237","5,805","6,470","13,227","8,181","2,134","8,750","5,473","2,021","7,513","3,775","2,297","8,744",5643,"2,455","8,684","5,215"
POINT (-73.97665547944715 40.75169473512389),42,42,Manhattan,East 42 Street,Park Avenue,Lexington Avenue,Y,"7,485","15,513","6,239","6,664","16,133","4,885","6,149","15,315","4,689","5,437","13,819","6,455","8,306","21,051","6,303","7,433","20,672","5,006","7,210","17,256","5,715","9,320","16,289","5,193","7,149","16,756","6,308","8,729","16,342","5,287","8,083","12,937","6,480","7,362","16,933","6,857","7,478","18,085","6,703","7,700","17,327","7,617","8,461","17,127","5,692","7,278","18,044","4,682","8,428","16,039","6,560","8,690","17,425","5,608","13,311","28,056","9,351","8,253","16,376","6,400","9,241","20,258","6,428","8,551","16,529","6,279","8,452","19,998","5,873","9,358","23,025","8,808","9,414","16,061","5,619","2,522","4,555","2,127","3,917","7,663","2,919","3,643","7,261","3,545","7,206","13,406","5,809","6,076","11,461","5,696","6,470","13,227","6,563","6,005","12,215","6,099","7,465","13,836","1,422","6,185","13,165",5810,"4,844","9,094","4,285"
POINT (-73.99441204702927 40.731436017707075),43,43,Manhattan,East 8th Street,University Place,Greene Street,N,944,"5,422","2,254",952,"5,782","2,736","1,052","6,359","3,097",975,"5,623","2,947",884,"4,929","2,506","1,064","5,810","2,736","1,035","5,137","2,588","1,291","5,350","2,367",926,"5,171","2,968",980,"5,290","2,417","1,134","2,830","2,846","1,084","6,025","2,600","1,111","5,771","2,830","1,087","5,550","3,066",824,"3,902","2,237","1,200","5,118","2,335","1,113","3,873","2,756","1,183","5,024","2,220","1,267","5,138","2,661","1,457","6,299","2,276","1,352","4,866","2,682","1,212","5,016","1,690",905,"5,073","2,276","1,232","5,929","3,014",0,0,0,468,"1,201","2,943",769,"2,756","1,676","1,176","3,763","2,727","1,018","3,010","2,505","1,267","4,576","3,258","6,470","17,928","9,492","1,091","4,217","2,970",883,"2,799","1,636","1,175","4,471",2783,784,"2,469","1,852"
POINT (-73.98861503057542 40.7588482835213),44,44,Manhattan,Eighth Avenue,West 44th Street,West 45th Street,N,"2,735","8,412","12,143","8,533","23,290","16,629","10,246","33,290","13,498","5,753","13,671","9,753","8,366","16,730","5,749","7,495","14,628","4,423","5,196","16,136","8,685","3,841","10,130","7,476","6,058","20,010","7,261","5,684","13,805","8,406","5,608","13,250","9,213","6,265","18,303","9,065","6,561","19,195","9,577","6,729","18,822","9,879","7,027","17,164","7,998","7,906","21,946","10,243","8,133","22,625","8,990","7,222","19,064","6,468","7,800","28,019","10,030","7,160","21,141","8,346","8,389","25,824","9,745","7,802","23,979","12,536","9,734","28,309","11,806","7,816","24,112","9,241",0,0,0,"1,018","2,084","1,596","2,294","6,402","2,966","3,591","10,884","11,739","5,111","19,400","15,618","5,960","18,219","10,327","3,507","14,612","9,182","5,570","15,906","11,039","5,366","18,075","10,623","5,670","18,908",15642,"6,822","22,016","10,213"
