the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.97579823470531 40.74064461681907, -73.97441351866321 40.740075163612744))",1,Manhattan,106,"4,2",74,27,12,EAST 29 STREET,34668,3,32864,MN0603,MN,Neighborhood,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5,6",436.218874886
"MULTILINESTRING ((-73.93525789432428 40.82662838607862, -73.93539079504956 40.82668313329919))",1,Manhattan,110,9,71,30,13,WEST 153 STREET,173798,4,34996,MN1002,MN,Community,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,"2,4,5",41.8412190825
"MULTILINESTRING ((-73.95206219664077 40.82707978738205, -73.95260504991029 40.827286480933424))",1,Manhattan,109,7,71,31,13,WEST 145 STREET,183690,2,34638,MN0903,MN,Regional,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,"2,6",168.052808218
"MULTILINESTRING ((-73.95206219664077 40.82707978738205, -73.95260504991029 40.827286480933424))",1,Manhattan,109,7,71,31,13,WEST 145 STREET,183690,2,34638,MN0903,MN,Regional,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,"2,6",168.052808218
"MULTILINESTRING ((-73.98846189505852 40.77404470233028, -73.98856594375725 40.77408975855301))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006883,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,33.165996331
"MULTILINESTRING ((-73.98773807908778 40.7737312652068, -73.98800196634228 40.77384553887941))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006880,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,84.115986161
"MULTILINESTRING ((-73.98773807908778 40.7737312652068, -73.98800196634228 40.77384553887941))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006880,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,84.115986161
"MULTILINESTRING ((-73.98756150766116 40.77365480259546, -73.9875921678141 40.77366807931302))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9008057,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,9.77309860366
"MULTILINESTRING ((-73.98763892676203 40.77368832764248, -73.98773807908778 40.7737312652068))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006878,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,31.6056747094
"MULTILINESTRING ((-73.98800196634228 40.77384553887941, -73.98814206753774 40.773906206749366))",1,Manhattan,107,6,67,31,10,WEST 63 STREET,9006881,3,33201,MN0701,MN,Neighborhood,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,44.6579595912
"MULTILINESTRING ((-73.93220061823797 40.79635950802496, -73.93128862778974 40.79596891821366))",1,Manhattan,111,8,68,"30,29",13,EAST 118 STREET,68592,3,35299,MN1102,MN,Neighborhood,East Harlem (North),"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2,3",289.850829773
"MULTILINESTRING ((-73.92937624666422 40.85148727852796, -73.92971563664175 40.851065506353436))",1,Manhattan,112,10,72,31,13,WASHINGTON TERRACE,71381,4,35786,MN1202,MN,Community,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,180.082224031
"MULTILINESTRING ((-73.9537119121409 40.82727549063605, -73.954157923586 40.82724363818039))",1,Manhattan,109,7,71,31,13,WEST 145 STREET,184626,2,34638,MN0903,MN,Regional,Hamilton Heights-Sugar Hill,X,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",2,123.978688884
