ConditionHazard #,Class,Number,Type,Extent,Problem,Location/Comments,Priority,Cause,Feature #
172,Condition,,Dispensers Missing Soap,,,,,0,590
259,Condition,,Litter,,Moderate,,,0,1293
393,Condition,,Litter,,Light,on ceiling,,0,1712
462,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,1844
748,Condition,,,,Light,damage to decorative window.,,0,2865
3255,Condition,1,Dispensers Missing Soap,1,,,,0,15280
3256,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15280
3320,Condition,1,Paint Uneven / Not Uniform,1,,40% chipping paint deterioration of restroom walls,,0,15515
3321,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15516
3322,Condition,1,Dispensers Missing Soap,1,,,,0,15516
3330,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15548
3331,Condition,1,Dispensers Missing Soap,1,,,,0,15548
3481,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16216
3482,Condition,1,Dispensers Missing Soap,1,,,,0,16216
3503,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16316
3569,Condition,1,Dispensers Missing Soap,1,,,,0,16584
3570,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16584
3571,Condition,1,No Toilet Paper,1,,,,0,16584
3575,Condition,1,Fixture Deterioration,1,,light switch damaged and exposed,,0,16587
3597,Condition,1,No Toilet Paper,1,,,,0,16652
3619,Condition,1,Soap Dispensers Missing,1,,,,0,16787
1784,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,7960
1785,Condition,1,Dispensers Missing Soap,1,,,,0,7960
1786,Condition,1,No Toilet Paper,1,,,,0,7960
1819,Condition,1,No Toilet Paper,1,,,,0,8096
1866,Condition,1,Dispensers Missing Soap,1,,,,0,8328
1867,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,8328
1868,Condition,1,No Toilet Paper,1,,,,0,8328
1893,Condition,1,Dispensers Missing Soap,1,,,,0,8528
1894,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,8528
1981,Condition,1,Dispensers Missing Soap,1,,,,0,9064
1982,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,9064
2267,Condition,1,Dispensers Missing Soap,1,,,,0,10100
2268,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,10100
2442,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,10904
2443,Condition,1,Dispensers Missing Soap,1,,,,0,10904
6204,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,30556
6601,Condition,,Wall Deterioration,,Light,,,0,32446
6636,Condition,,Towel Dispensers Missing,,,,,0,32646
6715,Condition,1,Dispensers Missing Soap,1,,,,1,32878
6801,Condition,1,Hand Dryers Broken,1,,,,1,33199
4655,Condition,,No Paper Towels / Hand Dryer,,,,,0,22918
4725,Condition,,Litter,,Light,,,0,23253
4726,Condition,2,No Paper Towels / Hand Dryer,8,,,,0,23254
4793,Condition,,Litter,,Light,,,0,23286
4747,Condition,,Dispensers Missing Soap,,,no dispenser,,0,23353
4748,Condition,,Soap Dispensers Missing,,,,,0,23354
4927,Condition,,Dispensers Missing Soap,,,,,0,24425
4928,Condition,,No Paper Towels / Hand Dryer,,,,,0,24425
4951,Condition,1,Soap Globe Missing,1,,,,0,24490
4994,Condition,1,Toilet Paper Dispensers Damaged,1,,,,0,24725
5050,Condition,,Litter,,Moderate,,,0,25076
1034,Condition,,Litter,,Light,adj to toilet.,,0,4101
1033,Condition,1,No Toilet Paper,1,,,,0,4102
1176,Condition,1,,2,,Mirrors damaged,,0,5070
1202,Condition,1,Soap Dispensers Missing,1,,,,0,5170
1223,Condition,,Litter,,Light,adj toilet,,0,5270
1241,Condition,1,Dispensers Missing Soap,1,,,,0,5406
1259,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,5487
1316,Condition,1,Urinals OOS,4,,,,0,5841
1317,Condition,1,,2,,stall door damaged,,0,5841
1335,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,5938
1336,Condition,1,No Toilet Paper,1,,,,0,5938
1338,Condition,,Litter,,Light,,,0,5941
1410,Condition,,Paint Uneven / Not Uniform,,,on sink and urinals,,0,6323
3924,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,19760
3953,Condition,1,Toilets OOS,1,,1 of 4,,0,19827
4039,Condition,1,Toilet Paper Dispensers Missing,1,,,,0,20310
4111,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,20563
4173,Condition,2,Dispensers Missing Soap,3,,,,0,20763
4177,Condition,1,Urinals OOS,4,,,,0,20778
168,Condition,,Ceiling Deterioration,,Light,,,0,816
171,Condition,,Paint Uneven / Not Uniform,,,in women's stall,,0,816
132,Condition,1,No Toilet Paper,1,,,,0,833
133,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,833
134,Condition,,Litter,,Light,overall,,0,835
286,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,984
394,Condition,1,Dispensers Missing Soap,1,,,,0,1718
411,Condition,,Litter,,Moderate,,,0,1888
674,Condition,1,Dispensers Missing Soap,1,,,,0,2805
833,Condition,1,Dispensers Missing Soap,1,,,,0,3539
834,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,3539
835,Condition,1,Dispensers Missing Soap,1,,,,0,3543
836,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,3543
3395,Condition,1,Dispensers Missing Soap,1,,,,0,15856
3396,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15856
3397,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15860
3398,Condition,1,Dispensers Missing Soap,1,,,,0,15860
3413,Condition,1,Dispensers Missing Soap,1,,,,0,15924
3460,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16124
3468,Condition,1,Dispensers Missing Soap,1,,,,0,16160
3558,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16560
3559,Condition,1,Dispensers Missing Soap,1,,,,0,16560
3563,Condition,1,Litter,1,,moderate litter in stall,,0,16562
1776,Condition,1,Dispensers Missing Soap,1,,,,0,7936
1777,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,7936
1830,Condition,1,Stalls Missing Doors,1,,,,0,8155
1871,Condition,1,Dispensers Missing Soap,1,,,,0,8336
1872,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,8336
1919,Condition,1,Stalls Missing Doors,1,,,,0,8723
2039,Condition,1,Dispensers Missing Soap,1,,,,0,9372
2040,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,9372
2162,Condition,1,Dispensers Missing Soap,1,,,,0,9676
2163,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,9676
2164,Condition,1,No Toilet Paper,1,,,,0,9676
2380,Condition,1,Toilets OOS,5,,door locked,,0,10676
6211,Condition,,Wall Deterioration,,Light,adj sink,,0,30549
6212,Condition,,Fixture Deterioration,,Light,sink,,0,30549
6213,Condition,,Fixture Deterioration,,Moderate,urinal,,0,30549
