Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Latitude,Longitude
Battery Park Zone 1,Park,NYC Parks,Not Operational,,,,40.70441,-74.0159
Carl Schurz Main Lawn,Park,NYC Parks,Not Operational,,,Partially Accessible,40.77358,-73.945
Tappen Park,Park,NYC Parks,Not Operational,,,,40.62661,-74.0778
Refinery Building,Park,Domino Park,Operational,Year Round,6am-11pm,,40.714424,-73.967306
"Gravesend Library, BPL",Library,BPL,Closed for Construction,Year Round,,Fully Accessible,40.590553,-73.97181
"Aguilar Library, NYPL",Library,NYPL,Closed for Construction,Future,,,40.794223,-73.94346
Maspeth Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.7309,-73.9254
Crotona Malls Zone 1,Park,NYC Parks,Not Operational,,,Fully Accessible,40.84284,-73.8855
"Fort Hamilton Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,40.616381,-74.031371
Rienzi Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.88764,-73.8588
Lopez Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.61127,-74.085
"Andrew Heiskell Braille and Talking Book Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,40.740474,-73.993358
Old Town Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.59549,-74.0815
575 Fifth Avenue POPS,Privately Owned Public Space,575 Fifth Associates,Operational,Year Round,Everyday 7:00 am-12:00 am,Fully Accessible,40.756276,-73.978243
Fort Greene Park Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.69223,-73.9747
Starlight Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.833733,-73.882888
Clove Lakes Rink,Park,NYC Parks Concessionaire,Operational,Seasonal,"Friday 4:00-10:00pm, Saturday 12:00pm-10:00pm, Sunday 12:00pm-6:00pm",Fully Accessible,40.615832,-74.1079
Mosholu Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,40.87266,-73.8829
General Hart Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,40.74879,-73.8972
Gertrude Ederle Recreation Center,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,40.77147,-73.9887
"Great Kills Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm  
Wednesday: 11:00 am - 6:00 pm  
Thursday: 11:00 am - 6:00 pm  
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 4:00 pm",Fully Accessible,40.552432,-74.151113
